ID;marca1;marca2;IDMARCA;Carro;IDMARCA;Moto;;;;;
;;;84;RODEO;133;MAGIK;;;;;
;;;15;J3;133;MIDAS;;;;;
;;;15;J5;133;MIRAGE;;;;;
;;;15;J6;133;MOTOKAR;;;;;
;;;86;DAIMLER;133;PRIMA;;;;;
;;;86;S-TYPE;133;RX;;;;;
;;;86;X-TYPE;133;SETA;;;;;
;;;86;MODELOS XJ;133;SOFT;;;;;
;;;86;MODELOS XK;133;SUPER CAB;;;;;
;;;87;CHEROKEE;133;TN;;;;;
;;;87;COMMANDER;133;WAY;;;;;
;;;87;COMPASS;133;WIN;;;;;
;;;87;GRAND CHEROKEE;170;AVAJET;;;;;
;;;87;WRANGLER;170;CONCOURS;;;;;
;;;88;TOPIC VAN;170;D-TRACKER;;;;;
;;;89;JIPE MONTEZ;170;ER-6N;;;;;
;;;89;PICAPE MONTEZ;170;KLX 110/140;;;;;
;;;16;BESTA;170;KX 100/125;;;;;
;;;16;BONGO;170;KZ;;;;;
;;;16;CADENZA;170;MAXI;;;;;
;;;16;CARENS;170;NINJA 250;;;;;
;;;16;CARNIVAL;170;VERSYS;;;;;
;;;16;CERATO;170;VOYAGER;;;;;
;;;16;CERES;170;VULCAN;;;;;
;;;16;CLARUS;170;ZZR;;;;;
;;;16;MAGENTIS;214;DJW;;;;;
;;;16;MOHAVE;214;MBOY;;;;;
;;;16;OPIRUS;214;PEOPLE;;;;;
;;;16;OPTIMA;214;ZING;;;;;
;;;16;PICANTO;215;AKROS;;;;;
;;;16;SEPHIA;215;ERGON;;;;;
;;;16;SHUMA;215;NIX;;;;;
;;;16;SORENTO;216;MOTO TRUCK;;;;;
;;;16;SOUL;217;QUATTOR;;;;;
;;;16;SPORTAGE;218;FORMIGAO;;;;;
;;;94;LAIKA;98;CARGO;;;;;
;;;94;NIVA;219;DE LUXE;;;;;
;;;94;SAMARA;219;E RETRO;;;;;
;;;12;GALLARDO;219;LY;;;;;
;;;12;MURCIELAGO;220;TRICICLO;;;;;
;;;96;DEFENDER;221;CIAK;;;;;
;;;96;DISCOVERY;221;SPIDER;;;;;
;;;96;FREELANDER;222;DRAGO;;;;;
;;;96;NEW RANGE;222;EASY;;;;;
;;;96;RANGE ROVER;222;FAST;;;;;
;;;97;ES;222;SKEMA;;;;;
;;;97;GS;222;VITE;;;;;
;;;97;IS-300;223;CALIFORNIA;;;;;
;;;97;LS;223;QUOTA;;;;;
;;;97;RX;223;V11;;;;;
;;;97;SC;223;LE MANS;;;;;
;;;98;320;224;230R;;;;;
;;;98;620;225;BRUTALE;;;;;
;;;100;H1;225;F4;;;;;
;;;101;ELAN;226;BIG FORCE;;;;;
;;;101;ESPRIT;226;BLACK STAR;;;;;
;;;102;SCORPIO;226;BRX;;;;;
;;;104;222;226;DUAL;;;;;
;;;104;228;226;FENIX GOLD;;;;;
;;;104;3200;226;FOX;;;;;
;;;104;430;226;GO;;;;;
;;;104;COUPE;226;HALLEY;;;;;
;;;104;GHIBLI;226;FENIX;;;;;
;;;104;GRANCABRIO;226;JURASIC;;;;;
;;;104;GRANSPORT;226;MA;;;;;
;;;104;GRANTURISMO;226;SIMBA;;;;;
;;;104;QUATTROPORTE;226;SPORT;;;;;
;;;104;SHAMAL;226;SPYDER;;;;;
;;;104;SPIDER;226;STREET;;;;;
;;;106;PICK-UP;226;SUPER;;;;;
;;;108;323;226;XRT;;;;;
;;;108;626;227;AX;;;;;
;;;108;929;227;JC;;;;;
;;;108;B-2500;227;QM;;;;;
;;;108;B2200;228;BR III;;;;;
;;;108;MILLENIA;22;BUXY;;;;;
;;;108;MPV;22;ELYSEO;;;;;
;;;108;MX-3;22;SCOOTELEC;;;;;
;;;108;MX-5;22;SPEEDAKE;;;;;
;;;108;NAVAJO;22;SPEEDFIGHT;;;;;
;;;108;PROTEGE;22;SQUAB;;;;;
;;;108;RX;22;TREKKER;;;;;
;;;4;CLASSE A;22;VIVACITY;;;;;
;;;4;CLASSE B;22;ZENITH;;;;;
;;;4;CLASSE R;229;BEVERLY;;;;;
;;;4;CLASSE GLK;229;LIBERTY;;;;;
;;;4;SPRINTER;229;MP3;;;;;
;;;110;MYSTIQUE;229;NRG;;;;;
;;;110;SABLE;229;RUNNER;;;;;
;;;112;550;229;VESPA;;;;;
;;;112;MG6;229;ZIP;;;;;
;;;113;COOPER;230;BLACK JACK;;;;;
;;;113;ONE;230;FENIX GOLD;;;;;
;;;111;3000;230;GHOST;;;;;
;;;111;AIRTREK;230;SPYDER;;;;;
;;;111;ASX;231;ENJOY;;;;;
;;;111;COLT;231;HUSKY;;;;;
;;;111;DIAMANT;231;PASSING;;;;;
;;;111;ECLIPSE;132;RACING 200;;;;;
;;;111;EXPO;232;SCROSS;;;;;
;;;111;GALANT;140;AKROS;;;;;
;;;111;GRANDIS;140;ERGON;;;;;
;;;111;L200;140;FIFTY;;;;;
;;;111;L300;140;HUNTER;;;;;
;;;111;LANCER;140;MAX;;;;;
;;;111;MIRAGE;140;PALIO;;;;;
;;;111;MONTERO;140;PGO;;;;;
;;;111;OUTLANDER;140;STX;;;;;
;;;111;PAJERO;140;STX MOTARD;;;;;
;;;111;SPACE WAGON;140;SUPER FIFTY;;;;;
;;;114;BG-TRUCK;140;VBLADE;;;;;
;;;43;350Z;140;WEB;;;;;
;;;43;ALTIMA;140;WEB EVO;;;;;
;;;43;AX;59;ADDRESS;;;;;
;;;43;D-21;59;BANDIT 250;;;;;
;;;43;FRONTIER;59;BOULEVARD;;;;;
;;;43;KING-CAB;59;BURGMAN AN;;;;;
;;;43;LIVINA;59;DR;;;;;
;;;43;MARCH;59;FREEWIND 650;;;;;
;;;43;MAXIMA;59;GS 500;;;;;
;;;43;MURANO;59;GSR;;;;;
;;;43;NX;59;INTRUDER;;;;;
;;;43;PATHFINDER;59;KATANA;;;;;
;;;43;PRIMERA;59;LETS II;;;;;
;;;43;QUEST;59;LT;;;;;
;;;43;SENTRA;59;MARAUDER GZ;;;;;
;;;43;STANZA;59;RF;;;;;
;;;43;180SX;59;RM 250;;;;;
;;;43;TERRANO;59;SAVAGE;;;;;
;;;43;TIIDA;59;TL;;;;;
;;;43;VERSA;59;VX 800;;;;;
;;;43;X-TRAIL;233;TRIMOTO;;;;;
;;;43;XTERRA;234;CJ;;;;;
;;;43;ZX;234;JH;;;;;
;;;22;106;234;JL;;;;;
;;;22;205;234;STAR 50;;;;;
;;;22;206;234;WORK 125;;;;;
;;;22;207;234;SKY 125;;;;;
;;;22;3008;234;FLY 135;;;;;
;;;22;306;234;BEST;;;;;
;;;22;307;148;ADVENTURER;;;;;
;;;22;308;148;BONNEVILLE;;;;;
;;;22;405;148;DAYTONA;;;;;
;;;22;406;148;LEGEND;;;;;
;;;22;407;148;ROCKET;;;;;
;;;22;408;148;SCRAMBLER;;;;;
;;;22;504;148;SPEED TRIPLE;;;;;
;;;22;505;148;SPRINT;;;;;
;;;22;508;148;STREET TRIPLE;;;;;
;;;22;605;148;THRUXTON;;;;;
;;;22;607;148;THUNDERBIRD;;;;;
;;;22;806;148;TIGER;;;;;
;;;22;807;148;TRIDENT;;;;;
;;;22;BOXER;148;TROPHY;;;;;
;;;22;HOGGAR;148;TT-600;;;;;
;;;22;PARTNER;235;REBELLIAN;;;;;
;;;22;RCZ;235;TRITON;;;;;
;;;123;GRAN VOYAGER;235;VTHUNDER;;;;;
;;;123;SUNDANCE;236;WY;;;;;
;;;69;TRANS-AM;135;AXIS;;;;;
;;;69;TRANS-SPORT;135;BWS;;;;;
;;;70;911;135;JOG;;;;;
